,9952773,5311497,208908,9884685,11754511,10074640,24951314,11228183,11977753,11634725,176167,5328940,9914412,462382,11404337,16663089,46930998,8249,10459196,91668541,11364421,6852167,25227847,51001932,25257557,65110,5208,53302361,51000408,159324,9863776,6914657,160355,126565,24978538,6253,36462,16095342,66577006,52918385,5746,24825971,11676786,10461815,24785538,46224516,11713159,42640,3218,148124,9933475,4261,44462758,44462760,60167849,9903786,24756910,216239,5494449,46843057,73555129,5311,6918848,560326,10385095,46943432,10384072,5113032,44137675,25022668,71271629,5329102,3796,42642645,16725726,11493598,82146,11433190,16038120,9858940,7251185,46844147,59472121,46885626,11178236,3463933,9813758,46236925,11844351,9868037,53469448,44143370,71299339,76044,71496458,10027278,5394,11373846,44182295,9956119,9938202,11152667,5289247,5460769,51371303,5717801,11338033,6918454,3899,9967941,16760646,10200390,992586,6505803,60750,56965967,70676303,25195352,72200024,11625818,54761306,46191454,68947304,11282283,49821040,24856436,25262965,387447,6450551,444795,46843772,16747388,9956222,10109823,9825149,4993,20635522,16720766,9549184,49806720,49847690,41867,11647372,46907787,104842,521106,16722836,9907093,25222038,637858,11455910,60838,447912,54676905,446378,85668777,17755052,25099184,300471,10113978,9810884,10184653,24894414,9910224,44632017,2733526,31703,704473,36314,10077147,4263900,126941,5310940,9874913,44551660,6918638,24180719,11609586,10302451,53340664,6445562,49836027,6710780,25102847
ACH-000945,,,,,,,1.461066946,,,,,,,,,,,,,,,,,,,,,2.163849085,,2.531279587,1.847527913,,,,,,3.050507403,,,,1.63245441,,,,,5.076388401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.678300116,,,,,,4.311823708,,,,2.884415628,,,,,,,3.786997185,,,,,,,,,,,,,,,4.068026705,,,,,,,,,,,,,,,,2.870574277,,,,,,,,,,,,4.556512363,,,,2.406070617,,,,,,,,,,,,,,,,,-1.670196085,,,2.258364098,,,,,,,,,,,,,,
ACH-000958,,,,,,,1.60636712,,,,,,,,,,,,,,,,,,,,,2.228576394,,2.238187088,1.175688484,,,,,,0.310492449,,,,,,,,,,,,,,,,,,,3.900767964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.313476306,,,,,,,,,,,,,,,,,,,,,,,,4.214351358,,3.636688375,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.792617185,,,,2.8480299,,,,,,,,,-2.712946603,2.569310652,,,,,,,-3.376015954,,,1.432416412,,,,,,,,,,3.184414009,,,,
ACH-000334,4.132837906,,,,,3.939355485,,,,,,,,,,,,,,,,,,,,,,0.579964514,,,2.206874976,,,,,,,,,,,,,,,1.438314153,,4.069518594,,,,,,,,3.219391664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.540926474,,,,,,3.848092343,,,,2.385699589,,,,,,,,,,,,,,,0.122708121,,,,,4.233003485,,4.163133437,,,,,,,,,,,,,,3.014731987,0.917807458,,,,,,,,,,,,,3.921099482,2.547899206,,,2.853758501,,,,,,,,,,,,,,,,,-1.869659048,,,1.783564427,,,,,2.940607958,,,,,2.118319212,,,,
ACH-000476,3.998638115,,,,,4.257909279,1.643490091,,,,,,,,,,,,,,,3.260577469,,,,,,,,,2.972339329,,,,,,2.722806238,,,,,,,,,,,,2.84018714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.187652367,,,,,,,,3.510018485,,,,2.344274201,,,,,,,,,,,,,,,,,,,,3.860666418,,,,,,,,4.263553537,,,,,,,,3.117646904,,2.195547169,,,,,,,,,,,,4.537023812,,,,2.657576639,,,,,,,,,,,3.114147396,,,,,,-1.129452014,,,1.921045566,,,,,1.862114737,,,,,2.4742841,,,,
ACH-000772,,,,,3.136464369,,,,,,,,,,1.301507142,1.429435691,,,,,,3.977132417,,,,,,,,,,,,,,,,,,,1.372218916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.522103534,,,,,,4.205466082,,,,3.871202551,,,,,,,4.255367146,,,2.914289875,,,,,,2.418950129,,,,,,,,,,,,,,,,,,,,,,2.888076367,,,,,2.188049129,,,,,,,3.911480515,,,,,,,,,-3.673718109,,,,,,,,,,,,-2.766572604,,,,,,,,,,,,,3.165638078,,,,
ACH-000756,,,,,2.776048983,4.120123599,-0.464367292,,,,,,,,,,,,,,,3.831854463,,,,,,1.950634721,,2.828013073,1.568688776,,,,,,0.183174225,,,,,2.342651777,,,,3.147205308,,3.923090909,2.20009673,,,,,,,4.171494335,,,,,,,,,,,,,1.617581787,,,,,-0.913185884,,,,,,,,,,,,,,,,,,4.129367905,,,,3.373192259,,,,,,,4.096916841,,,,,,,4.184135456,,2.960423583,,,,4.273482506,,,,,,3.29671437,,,,,,,,,,,2.333487003,1.958321104,,,,,1.828936613,,,,1.44902134,,,,2.606856074,,,0.548365505,,,,,,,,,,,,,,,,,-3.164867796,,,,,,,,3.736951325,,,,,3.166591636,,,,
ACH-000548,,,,1.571383662,,4.129836514,1.274802491,,,,,,,,,,,,,,,3.976121818,,,2.749760593,,,,,,1.556690058,,,,,0.685403086,1.423210613,,,,,,,,,4.804148505,,,2.639384353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.598282,,,,,,,,,,,3.365581843,4.985670469,,,,,,,,2.134901865,,,,4.031951314,,3.993221894,,,,3.139089801,,,,,0.135455651,,,,,2.842209002,,2.134773646,,,,,,,,,1.503974763,,,3.642068096,3.154556258,,,,0.522505731,,,,,,,,,,,,,,,,,,,,2.859440849,,,,,,,,,2.40880013,,,-4.734984357,
ACH-000615,,,,,,4.302710541,2.594491668,,,,,,,,0.433069314,,,,,,,,,,,,3.785397744,,,3.909428178,,,,,,0.413324498,,,,,3.495213382,,,,,4.073770666,,4.259941907,2.805894861,,,,,,,,0.460171126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.263000314,,,,,,,,,,,,,,,,-0.16909843,,,,,,,,4.181403154,,,,,,,,,,,,,,,,2.605151559,,,,,,,,,,,,,,,,,,,-0.421139701,,,,,,,,,,,,,,,,,,,,,,,,,1.889471504,,,,,,,-5.531686401,
ACH-000420,,,,,,4.189800838,,,,,,,,,,,,,,,,,,,,,,,,,2.584653588,,,,,,,,,,,,,,,,,,4.222974622,,,,,,,,2.121327079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.662594102,,,,,,4.152742327,,,,2.79814232,,,,,,,4.114058912,,,,,,,,,,,,,,,,,,,,,3.511199584,,,,,,,,,,,,,,,,,,,,,,,3.252298165,,,2.737038479,,,,,,,,,,,,,,,,,-0.039138678,,,,,,,3.314571448,,,,,,2.708913006,,,,2.299774816
